success,timestamp,date,base,rates.INR,rates.RUTH,rates.XCU,rates.ALU,rates.NI,rates.ZNC,rates.TIN,rates.LCO,rates.BSD,rates.BTN,rates.BWP,rates.BYN,rates.BYR
TRUE,1629890040,25-08-2021,USD,74.24950385,0.00133412,3.735648926,12.14236015,1.668747166,10.86180573,0.94124835,0.043102973,1.000912138,74.26615137,11.21063259,2.508190733,
TRUE,1629890400,25-08-2021,USD,74.24950385,0.00133384,3.737132181,12.14259327,1.669349569,10.86386848,0.941163694,0.043125808,1.00097215,74.2691211,11.20828045,2.50703783,
TRUE,1629890700,25-08-2021,USD,74.28744474,0.001334173,3.736882662,12.14205834,1.669565943,10.85974298,0.941342412,0.043110297,1.000882132,74.31440941,11.20671236,2.508015291,
TRUE,1629891000,25-08-2021,USD,74.2748549,0.001333827,3.739100782,12.14071388,1.67031752,10.85844018,0.941333006,0.043118483,1.000472054,74.28174243,11.20324015,2.506737073,
TRUE,1629891240,25-08-2021,USD,74.27040015,0.00133352,3.74323667,12.15079853,1.670050499,10.86484558,0.941135476,0.043104265,1.000722102,74.31589427,11.20268012,2.507915039,
TRUE,1629891540,25-08-2021,USD,74.28331446,0.001333613,3.740836644,12.15158677,1.669197529,10.86256569,0.941032008,0.043118914,1.000872131,74.28471216,11.2040242,2.508341112,19602.352
TRUE,1629891900,25-08-2021,USD,74.25553366,0.0013336,3.741708143,12.14624504,1.668747533,10.86137147,0.940825072,0.043089617,1.000372035,74.27506055,11.20895249,2.508441364,19619.012
TRUE,1629892200,25-08-2021,USD,74.26964009,0.0013342,3.739024049,12.15407385,1.668647426,10.86430275,,0.043094787,1.001052165,74.27506055,11.20514427,2.506862388,19603.528
TRUE,1629892500,25-08-2021,USD,74.32707436,0.00133408,3.739350619,12.15773005,1.670417653,10.85996011,0.940937946,0.043107281,1.000892134,74.29807592,11.20189607,2.50776466,19617.052
TRUE,1629892800,25-08-2021,USD,74.32505557,0.001334387,3.7325,12.1551056,1.668547004,10.85974298,0.941389443,0.043093925,1.000522063,74.26466651,11.20525627,2.507789723,19618.228
TRUE,1629893700,25-08-2021,USD,74.31623785,0.001333907,3.735971995,12.157838,1.668113118,10.8619143,0.941210725,0.043093063,1.000732104,74.25575733,11.21052058,2.507689471,19619.404
TRUE,1629894000,25-08-2021,USD,74.29869182,0.00133432,3.739423234,12.15243229,1.668462728,10.86734259,0.940721604,0.043111159,1.000582075,74.27134839,11.21052058,2.507188209,19610.976
